DEBUG 2024-10-21 12:12:55,264 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1729063315.174646
DEBUG 2024-10-21 12:12:55,265 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1729063315.2903242
DEBUG 2024-10-21 12:12:55,266 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\db\models\expressions.py first seen with mtime 1729063315.1656575
DEBUG 2024-10-21 12:12:55,266 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\wsgiref\headers.py first seen with mtime 1722958352.0
DEBUG 2024-10-21 12:12:55,267 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\views\static.py first seen with mtime 1729063315.3112674
DEBUG 2024-10-21 12:12:55,267 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1729063315.102825
DEBUG 2024-10-21 12:12:55,268 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1729063315.1267607
DEBUG 2024-10-21 12:12:55,269 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1729063315.0589426
DEBUG 2024-10-21 12:12:55,270 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1729063315.255417
DEBUG 2024-10-21 12:12:55,271 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\warnings.py first seen with mtime 1722958352.0
DEBUG 2024-10-21 12:12:55,271 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\sysconfig.py first seen with mtime 1722958352.0
DEBUG 2024-10-21 12:12:55,272 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\asgiref\sync.py first seen with mtime 1729063312.625511
DEBUG 2024-10-21 12:12:55,274 autoreload File C:\Users\Lenovo\Desktop\django rest framework\viewset\serializers.py first seen with mtime 1729243138.3580174
DEBUG 2024-10-21 12:12:55,275 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\core\wsgi.py first seen with mtime 1729063315.0709102
DEBUG 2024-10-21 12:12:55,276 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\email\mime\__init__.py first seen with mtime 1722958350.0
DEBUG 2024-10-21 12:12:55,276 autoreload File C:\Users\Lenovo\Desktop\django rest framework\application\__init__.py first seen with mtime 1729072992.265867
DEBUG 2024-10-21 12:12:55,277 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\typing.py first seen with mtime 1722958352.0
DEBUG 2024-10-21 12:12:55,277 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\contrib\postgres\utils.py first seen with mtime 1729063314.487354
